TECHNOLOGIES	c_inv	c_maint	lifetime	f_min	f	f_max	fmin_perc	f_perc	fmax_perc	c_p_actual	c_p	gwp_constr
UNITS	[Meuro/GW]	[Meuro/GW]	[y]	[GW or GWh]	[GW or GWh]	[GW or GWh]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[ktCO2-eq./GW or GWh]
TS_DEC_BOILER_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
SEASONAL_NG	0.000000	0.000000	30.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
SEASONAL_H2	6109.537115	29.610034	20.000000	0.000000	987.001149	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
CO2_STORAGE	0.000000	0.000000	20.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
SLF_STO	50.600817	3.163547	20.000000	0.000000	7968.632538	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
PT_STORAGE	0.000000	0.000000	25.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
ST_STORAGE	31883.936386	318.689118	25.000000	0.000000	1669.403444	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
TS_COLD	51676.224842	620.114698	20.000000	0.000000	2067.048994	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
EFFICIENCY	44234.473348	0.000000	1.000000	0.000000	5.911330	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
DHN	216769.026967	0.000000	60.000000	0.000000	262.469550	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
GRID	3102818.650658	0.000000	80.000000	0.000000	8.052087	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
PT_COLLECTOR	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
ST_COLLECTOR	80983.245481	4049.162274	25.000000	0.000000	809.832455	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
H2_ELECTROLYSIS	122568.423951	3370.631658	15.000000	0.000000	176.052827	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
H2_NG	21010.533055	1987.264302	25.000000	0.000000	30.841441	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
H2_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
PYROLYSIS	21671.076657	1083.485898	25.000000	0.000000	16.121703	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
ATM_CCS	0.000000	0.000000	40.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	40.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000	20.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
SYN_METHANATION	0.000000	0.000000	40.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
BIOMETHANATION	27838.755854	385.632684	20.000000	0.000000	28.232676	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
SLF_TO_DIESEL	0.000001	0.000000	1.000000	0.000000	13.703447	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
SLF_TO_GASOLINE	0.000000	0.000000	1.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
SLF_TO_LFO	0.000000	0.000000	1.000000	0.000000	0.000000	600000.000000	0.000000	-1.000000	1.000000	1.000000	1.000000	0.000000
